Customer,State,Customer Lifetime Value,Coverage,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Policy Type,Policy,Sales Channel,Total Claim Amount,Vehicle Size
HB64268,WA,2813.692575,Basic,02/03/2011,Employed,M,43836,Rural,Single,Personal Auto,Personal L1,Agent,384.81,Medsize
SV62436,WA,3041.791561,Gold,1/21/11,Disabled,F,13789,Suburban,Divorced,Personal Auto,Personal L3,Call Center,138.13,Medsize
AO98601,WA,5018.885233,Basic,1/18/11,Employed,M,54500,Suburban,Married,Corporate Auto,Corporate L2,Agent,379.2,Small
DH41343,WA,2443.665166,Basic,2/23/11,Employed,M,92834,Suburban,Married,Special Auto,Special L2,Call Center,516.24,Large
XR95069,WA,4854.745666,Basic,2/16/11,Employed,M,29834,Suburban,Single,Personal Auto,Personal L3,Agent,302.4,Medsize
SM52139,WA,2930.693543,Basic,1/31/11,Employed,M,33663,Suburban,Married,Personal Auto,Personal L3,Web,292.8,Medsize
LN31673,WA,11318.08982,Extended,02/06/2011,Employed,M,38923,Rural,Married,Personal Auto,Personal L3,Agent,307.2,Medsize
HF88410,WA,7703.397294,Basic,2/28/11,Employed,M,36765,Suburban,Married,Personal Auto,Personal L2,Call Center,350.4,Medsize
OE75231,WA,10656.88195,Extended,2/27/11,Employed,F,72540,Suburban,Married,Corporate Auto,Corporate L3,Call Center,115.73,Medsize
YQ74870,WA,7556.24034,Extended,02/12/2011,Employed,,35257,Suburban,Divorced,Corporate Auto,Corporate L2,Web,320.85,Small
CR48975,WA,24084.5352,Basic,02/02/2011,Employed,,65196,Suburban,Married,Personal Auto,Personal ,Branch,631.74,Medsize
YT36855,WA,2981.875575,Extended,2/24/11,,,0,Suburban,Married,Personal Auto,Personal ,Web,470.4,Medsize
RB50392,WA,7838.068321,Basic,2/17/11,,F,0,Rural,Married,Personal Auto,Personal L1,Agent,396.08,Medsize
RB81636,WA,2274.775451,Basic,1/15/11,,F,0,Suburban,Single,Personal Auto,Personal L2,Agent,582.68,Small
