Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Policy Type,Sales Channel,Total Claim Amount,Vehicle Class
AI49188,Nevada,12887.43165,No,Premium,Bachelor,2/19/12,Employed,Female,48767,Suburban,,108,Personal Auto,Agent,566.472247,Two-Door Car
WW63253,California,7645.861827,No,Basic,Bachelor,1/20/10,Unemployed,Male,0,Suburban,Married,106,Corporate Auto,Call Center,529.881344,SUV
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,1/25/10,Employed,Female,62902,Rural,Married,69,Personal Auto,Web,159.383042,Two-Door Car
XZ87318,Oregon,5380.898636,Yes,Basic,College,2/24/10,Employed,Female,55350,Suburban,Married,67,Corporate Auto,Agent,321.6,Four-Door Car
CF85061,AR,7216.100311,No,Premium,Master,1/18/11,Unemployed,Male,0,Urban,Single,101,Corporate Auto,Agent,363.02968,Four-Door Car
DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,Male,14072,Suburban,Divorced,71,Corporate Auto,Agent,511.2,Four-Door Car
BQ94931,Oregon,7388.178085,No,Extended,College,2/17/11,Employed,Female,28812,Urban,Married,93,Special Auto,Branch,425.527834,Four-Door Car
SX51350,California,4738.992022,No,Basic,College,2/21/11,Unemployed,Male,0,Suburban,Single,67,Personal Auto,Agent,482.4,Four-Door Car
VQ65197,California,8197.197078,No,Basic,College,01-Jun-11,Unemployed,Female,0,Suburban,Married,110,Personal Auto,Agent,528,SUV
DP39365,California,8798.797003,No,Premium,Master,02-Jun-11,Employed,Male,77026,Urban,Married,110,Corporate Auto,Agent,472.029737,Four-Door Car
SJ95423,AR,8819.018934,Yes,Basic,High School or Below,01-Oct-11,Employed,Male,99845,Suburban,Married,110,Corporate Auto,Branch,528,SUV
IL66569,California,5384.431665,No,Basic,College,1/18/11,Employed,Male,83689,Urban,Single,70,Corporate Auto,Call Center,307.139132,Four-Door Car
BW63560,Oregon,7463.139377,No,Basic,Bachelor,2/24/10,Employed,Female,24599,Rural,Married,64,Corporate Auto,Branch,42.920271,Four-Door Car
FV94802,Nevada,2566.867823,No,Basic,High School or Below,02-Jun-11,Medical Leave,Male,25049,Suburban,,67,Personal Auto,Call Center,454.245098,Two-Door Car
