"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"281","N3KUAA","193","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"1132","N3FMAA","1443","0","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"2611","N833AW","1715","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"2630","N814AW","1715","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"4189","N893AT","2668","0","0","JFK","BOS","101","2018","4","22","FLIGHT_2018"
"4945","N893AT","2674","0","0","JFK","BOS","10","2018","11","18","FLIGHT_2018"
"965","N181UW","873","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"2314","N3AJAA","1443","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"4868","N928AT","2670","0","0","JFK","BOS","10","2018","9","30","FLIGHT_2018"
"290","N3DNAA","193","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"808","N3FTAA","84","0","0","JFK","BOS","105","2017","1","1","FLIGHT_2017"
"2641","N3BWAA","330","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"2196","N188US","1912","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"3392","N767UW","1793","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"3569","N989AT","2684","0","0","JFK","BOS","109","2018","1","14","FLIGHT_2018"
"1230","N117UW","1919","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"3708","N906AT","2678","0","0","JFK","BOS","108","2018","3","20","FLIGHT_2018"
"291","N3APAA","1096","0","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"4928","N972AT","2672","0","0","JFK","BOS","104","2018","11","15","FLIGHT_2018"
"2839","N925UY","604","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"2866","N128UW","1919","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"4530","N707EV","5074","0","0","JFK","BHM","100","2018","8","16","FLIGHT_2018"
"817","N3BMAA","1664","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"3142","N918US","1830","0","0","JFK","CLT","108","2017","1","1","FLIGHT_2017"
"3441","N178US","1831","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"158","N3JNAA","291","0","0","JFK","AUS","101","2017","1","1","FLIGHT_2017"
"2009","N3BEAA","1443","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"2538","N925UY","2057","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"3587","N985AT","2684","0","0","JFK","BOS","101","2018","2","1","FLIGHT_2018"
"3444","N186US","873","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"3565","N975AT","2666","0","0","JFK","BOS","105","2018","1","14","FLIGHT_2018"
"2886","N3BLAA","235","0","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"2419","N3KRAA","330","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"318","N3KVAA","291","0","0","JFK","AUS","106","2017","1","1","FLIGHT_2017"
"1939","N701UW","1770","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"2591","N521UW","873","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"3998","N946UW","2122","0","0","JFK","BOS","107","2018","4","30","FLIGHT_2018"
